sls_ord_num,sls_prd_key,sls_cust_id,sls_order_dt,sls_ship_dt,sls_due_dt,sls_sales,sls_quantity,sls_price
SO75522,BK-R93R-62,17463,20140216,20140221,20140226,6750,2,3375
SO75523,BK-M82S-44,19150,20140212,20140217,20140222,27,3,9
SO75524,HL-U509,14915,20140207,20140213,20140218,3578,1,3578
SO75525,ST-1401,17091,20140214,20140222,20140227,3375,1,3375
SO75526,BK-M82B-48,12119,20140224,20140306,20140311,795,5,159
SO75527,LJ-0192-S,12140,20140219,20140227,20140304,1376,4,344
SO75528,ST-1401,21173,20140228,20140310,20140315,45,5,9
SO75529,BK-R93R-62,27609,20140301,20140308,20140313,88,4,22
SO75530,BK-R93R-62,18133,20140208,20140216,20140221,14312,4,3578
SO75531,BK-M82S-44,19621,20140222,20140303,20140308,9,1,9
SO75532,BK-R50B-62,24876,20140322,20140401,20140406,699,1,699
SO75533,ST-1401,22438,20140308,20140317,20140322,699,1,699
SO75534,BK-M82B-48,24024,20140307,20140315,20140320,88,4,22
SO75535,BK-R93R-62,14342,20140305,20140310,20140315,3400,1,3400
SO75536,HL-U509,11044,20140324,20140331,20140405,477,3,159
SO75537,FE-6654,19848,20140303,20140312,20140317,16875,5,3375
SO75538,CA-1098,24365,20140303,20140311,20140316,10125,3,3375
SO75539,FE-6654,25616,20140201,20140206,20140211,10734,3,3578
SO75540,HL-U509,17992,20140329,20140405,20140410,27,3,9
SO75541,FE-6654,19307,20140310,20140316,20140321,318,2,159
SO75542,BK-M82S-44,22942,20140129,20140206,20140211,699,1,699
SO75543,BK-R50B-62,21154,20140225,20140304,20140309,10734,3,3578
SO75544,BK-M82S-44,15169,20140223,20140305,20140310,3400,1,3400
SO75545,BK-R93R-62,23380,20140209,20140217,20140222,477,3,159
SO75546,ST-1401,17212,20140309,20140315,20140320,10734,3,3578
SO75547,BK-R93R-62,13436,20140305,20140313,20140318,16875,5,3375
SO75548,BK-M82B-48,17739,20140207,20140213,20140218,636,4,159
SO75549,FE-6654,25614,20140304,20140309,20140314,1032,3,344
SO75550,BK-M82S-44,11553,20140211,20140220,20140225,45,5,9
SO75551,ST-1401,22710,20140213,20140222,20140227,1398,2,699
SO75552,HL-U509,14247,20140314,20140319,20140324,7156,2,3578
SO75553,BK-R93R-48,21603,20140222,20140304,20140309,3578,1,3578
SO75554,ST-1401,23264,20140317,20140322,20140327,2796,4,699
SO75555,HL-U509,16513,20140302,20140307,20140312,45,5,9
SO75556,LJ-0192-S,18460,20140225,20140303,20140308,795,5,159
SO75557,LJ-0192-S,14295,20140317,20140326,20140331,3578,1,3578
SO75558,ST-1401,17638,20140130,20140206,20140211,17000,5,3400
SO75559,BK-R93R-48,15776,20140216,20140223,20140228,9,1,9
SO75560,FE-6654,16711,20140219,20140224,20140301,699,1,699
SO75561,BK-R93R-62,12075,20140302,20140309,20140314,688,2,344
SO75562,BK-R50B-62,17126,20140209,20140219,20140224,10734,3,3578
SO75563,BK-R93R-48,20030,20140321,20140330,20140404,1720,5,344
SO75564,LJ-0192-S,23502,20140312,20140318,20140323,688,2,344
SO75565,BK-R93R-48,23712,20140204,20140213,20140218,688,2,344
SO75566,BK-R93R-48,17516,20140304,20140314,20140319,88,4,22
SO75567,BK-M82S-44,19599,20140320,20140329,20140403,3578,1,3578
SO75568,CA-1098,17972,20140209,20140216,20140221,318,2,159
SO75569,BK-M82S-44,11949,20140306,20140312,20140317,3400,1,3400
SO75570,BK-R50B-62,19774,20140226,20140305,20140310,16875,5,3375
SO75571,BK-R50B-62,25548,20140325,20140401,20140406,1398,2,699
SO75572,SO-B909-M,12914,20140319,20140328,20140402,318,2,159
SO75573,BK-M82S-44,12686,20140213,20140220,20140225,14312,4,3578
SO75574,BK-R93R-48,15414,20140201,20140210,20140215,27,3,9
SO75575,FE-6654,11296,20140322,20140331,20140405,27,3,9
SO75576,BK-M82B-48,22383,20140311,20140318,20140323,1720,5,344
SO75577,BK-R93R-48,14740,20140220,20140228,20140305,2097,3,699
SO75578,CA-1098,23209,20140211,20140217,20140222,636,4,159
SO75579,BK-R50B-62,16341,20140210,20140217,20140222,13600,4,3400
SO75580,BK-R50B-62,21306,20140204,20140212,20140217,1376,4,344
SO75581,BK-R93R-62,11722,20140315,20140324,20140329,45,5,9
SO75582,BK-R50B-62,14451,20140202,20140210,20140215,22,1,22
SO75583,BK-R93R-48,20121,20140328,20140404,20140409,13500,4,3375
SO75584,BK-R93R-62,15372,20140317,20140323,20140328,17000,5,3400
SO75585,BK-R93R-48,20117,20140202,20140207,20140212,17890,5,3578
SO75586,BK-R93R-48,27700,20140304,20140313,20140318,6800,2,3400
SO75587,ST-1401,21036,20140321,20140327,20140401,110,5,22
SO75588,ST-1401,24826,20140203,20140213,20140218,1720,5,344
SO75589,FE-6654,12624,20140202,20140207,20140212,6800,2,3400
SO75590,SO-B909-M,13789,20140215,20140224,20140301,344,1,344
SO75591,HL-U509,14018,20140212,20140221,20140226,10125,3,3375
SO75592,BK-R93R-62,17114,20140208,20140216,20140221,1398,2,699
SO75593,ST-1401,29452,20140131,20140208,20140213,45,5,9
SO75594,SO-B909-M,24298,20140324,20140402,20140407,6800,2,3400
SO75595,ST-1401,27713,20140321,20140327,20140401,13500,4,3375
SO75596,BK-M82S-44,27158,20140322,20140331,20140405,13500,4,3375
SO75597,HL-U509,29050,20140224,20140301,20140306,1376,4,344
SO75598,BK-M82S-44,13751,20140220,20140226,20140303,9,1,9
SO75599,BK-R50B-62,25539,20140314,20140321,20140326,344,1,344
SO75600,FE-6654,19389,20140306,20140313,20140318,22,1,22
SO75601,LJ-0192-S,24717,20140329,20140405,20140410,10734,3,3578
SO75602,BK-M82B-48,21058,20140303,20140312,20140317,795,5,159
SO75603,BK-R93R-48,13981,20140311,20140318,20140323,16875,5,3375
SO75604,HL-U509,22451,20140314,20140320,20140325,3578,1,3578
SO75605,BK-R50B-62,20802,20140223,20140302,20140307,13600,4,3400
SO75606,ST-1401,14244,20140305,20140311,20140316,22,1,22
SO75607,ST-1401,15119,20140305,20140310,20140315,2796,4,699
SO75608,LJ-0192-S,24150,20140309,20140315,20140320,10734,3,3578
SO75609,SO-B909-M,25344,20140315,20140322,20140327,10734,3,3578
SO75610,BK-R93R-62,24431,20140215,20140220,20140225,13500,4,3375
SO75611,BK-R93R-62,11228,20140205,20140214,20140219,44,2,22
SO75612,BK-M82B-48,26867,20140330,20140408,20140413,17000,5,3400
SO75613,SO-B909-M,13912,20140204,20140212,20140217,10734,3,3578
SO75614,FE-6654,20311,20140322,20140328,20140402,3495,5,699
SO75615,BK-R93R-62,14331,20140322,20140328,20140402,9,1,9
SO75616,FE-6654,19723,20140325,20140401,20140406,688,2,344
SO75617,BK-M82S-44,22039,20140129,20140204,20140209,636,4,159
SO75618,BK-R50B-62,28560,20140223,20140228,20140305,318,2,159
SO75619,FE-6654,16851,20140222,20140302,20140307,1376,4,344
SO75620,BK-R93R-48,11389,20140329,20140407,20140412,795,5,159
SO75621,BK-R93R-48,12935,20140313,20140319,20140324,16875,5,3375
SO75622,BK-R50B-62,14947,20140326,20140403,20140408,17890,5,3578
SO75623,BK-R93R-48,20704,20140215,20140225,20140302,2796,4,699
SO75624,BK-R93R-48,19152,20140312,20140318,20140323,2796,4,699
SO75625,HL-U509,20485,20140316,20140321,20140326,159,1,159
SO75626,BK-R93R-48,21604,20140309,20140315,20140320,3375,1,3375
SO75627,BK-R93R-48,27354,20140209,20140215,20140220,159,1,159
SO75628,FE-6654,24654,20140129,20140208,20140213,17000,5,3400
SO75629,BK-R50B-62,11251,20140326,20140402,20140407,3375,1,3375
SO75630,SO-B909-M,14883,20140228,20140309,20140314,7156,2,3578
SO75631,BK-R93R-62,17863,20140217,20140225,20140302,1398,2,699
SO75632,CA-1098,28863,20140313,20140318,20140323,1032,3,344
SO75633,BK-R50B-62,11484,20140319,20140327,20140401,318,2,159
SO75634,HL-U509,24091,20140319,20140324,20140329,795,5,159
SO75635,BK-R93R-62,22458,20140205,20140215,20140220,66,3,22
SO75636,CA-1098,14839,20140223,20140301,20140306,13500,4,3375
SO75637,SO-B909-M,11661,20140201,20140208,20140213,17890,5,3578
SO75638,FE-6654,26151,20140216,20140225,20140302,10125,3,3375
SO75639,FE-6654,25822,20140308,20140314,20140319,13600,4,3400
SO75640,SO-B909-M,13573,20140318,20140327,20140401,3400,1,3400
SO75641,CA-1098,12296,20140214,20140224,20140301,22,1,22
SO75642,CA-1098,18822,20140219,20140224,20140301,10734,3,3578
SO75643,HL-U509,22007,20140221,20140302,20140307,2796,4,699
SO75644,CA-1098,17093,20140222,20140227,20140304,795,5,159
SO75645,BK-R93R-62,28981,20140309,20140318,20140323,636,4,159
SO75646,SO-B909-M,17018,20140202,20140209,20140214,110,5,22
SO75647,BK-M82B-48,11396,20140217,20140225,20140302,3375,1,3375
SO75648,FE-6654,16683,20140220,20140228,20140305,10200,3,3400
SO75649,ST-1401,17729,20140320,20140329,20140403,6750,2,3375
SO75650,BK-R93R-48,26996,20140228,20140307,20140312,2097,3,699
SO75651,CA-1098,22061,20140325,20140331,20140405,36,4,9
SO75652,BK-M82B-48,22833,20140228,20140310,20140315,688,2,344
SO75653,ST-1401,24192,20140312,20140321,20140326,159,1,159
SO75654,FE-6654,19133,20140204,20140212,20140217,3400,1,3400
SO75655,BK-M82S-44,21859,20140207,20140217,20140222,477,3,159
SO75656,BK-M82B-48,18419,20140213,20140219,20140224,688,2,344
SO75657,BK-R93R-48,14187,20140315,20140320,20140325,1376,4,344
SO75658,ST-1401,13518,20140312,20140318,20140323,688,2,344
SO75659,BK-R93R-62,20786,20140222,20140303,20140308,6800,2,3400
SO75660,LJ-0192-S,26501,20140316,20140325,20140330,10734,3,3578
SO75661,BK-R93R-48,22046,20140311,20140318,20140323,159,1,159
SO75662,BK-M82B-48,16140,20140215,20140221,20140226,18,2,9
SO75663,LJ-0192-S,20404,20140314,20140323,20140328,477,3,159
SO75664,HL-U509,21484,20140315,20140324,20140329,7156,2,3578
SO75665,CA-1098,13387,20140131,20140207,20140212,1032,3,344
SO75666,FE-6654,19945,20140310,20140316,20140321,2796,4,699
SO75667,BK-M82S-44,13478,20140226,20140305,20140310,344,1,344
SO75668,HL-U509,15290,20140330,20140408,20140413,688,2,344
SO75669,ST-1401,13058,20140319,20140326,20140331,3578,1,3578
SO75670,SO-B909-M,25744,20140215,20140221,20140226,22,1,22
SO75671,HL-U509,13961,20140325,20140403,20140408,45,5,9
SO75672,BK-R50B-62,21391,20140318,20140326,20140331,88,4,22
SO75673,SO-B909-M,28800,20140306,20140316,20140321,9,1,9
SO75674,ST-1401,17892,20140226,20140305,20140310,1032,3,344
SO75675,LJ-0192-S,18864,20140202,20140211,20140216,1032,3,344
SO75676,HL-U509,24347,20140202,20140209,20140214,66,3,22
SO75677,LJ-0192-S,27612,20140316,20140322,20140327,6750,2,3375
SO75678,HL-U509,19144,20140130,20140205,20140210,13500,4,3375
SO75679,BK-R93R-62,21070,20140316,20140322,20140327,344,1,344
SO75680,BK-R93R-48,20949,20140212,20140221,20140226,110,5,22
SO75681,ST-1401,23369,20140315,20140325,20140330,10734,3,3578
SO75682,CA-1098,26617,20140309,20140319,20140324,13600,4,3400
SO75683,BK-R50B-62,16306,20140323,20140402,20140407,110,5,22
SO75684,BK-R50B-62,23419,20140210,20140219,20140224,14312,4,3578
SO75685,BK-M82S-44,16238,20140204,20140209,20140214,17890,5,3578
SO75686,LJ-0192-S,26950,20140321,20140331,20140405,10125,3,3375
SO75687,HL-U509,12388,20140130,20140208,20140213,3375,1,3375
SO75688,BK-M82B-48,15889,20140307,20140317,20140322,699,1,699
SO75689,BK-M82S-44,28472,20140329,20140404,20140409,3578,1,3578
SO75690,BK-M82S-44,25584,20140305,20140311,20140316,7156,2,3578
SO75691,BK-M82S-44,12948,20140304,20140309,20140314,1376,4,344
SO75692,BK-R93R-48,20165,20140130,20140205,20140210,10200,3,3400
SO75693,BK-R93R-62,15017,20140131,20140207,20140212,10734,3,3578
SO75694,BK-M82S-44,14157,20140202,20140212,20140217,13500,4,3375
SO75695,BK-R93R-48,28910,20140201,20140206,20140211,7156,2,3578
SO75696,BK-M82B-48,16590,20140220,20140226,20140303,17890,5,3578
SO75697,HL-U509,28988,20140225,20140302,20140307,10200,3,3400
SO75698,HL-U509,23443,20140202,20140212,20140217,1720,5,344
SO75699,LJ-0192-S,18566,20140202,20140212,20140217,17890,5,3578
SO75700,HL-U509,11112,20140329,20140405,20140410,13600,4,3400
SO75701,SO-B909-M,16856,20140206,20140214,20140219,636,4,159
SO75702,BK-R93R-62,16605,20140226,20140303,20140308,14312,4,3578
SO75703,SO-B909-M,24407,20140328,20140407,20140412,18,2,9
SO75704,LJ-0192-S,18045,20140317,20140323,20140328,3400,1,3400
SO75705,SO-B909-M,15634,20140329,20140403,20140408,795,5,159
SO75706,FE-6654,11216,20140319,20140325,20140330,699,1,699
SO75707,ST-1401,15983,20140303,20140309,20140314,3495,5,699
SO75708,BK-R93R-48,15207,20140211,20140219,20140224,17890,5,3578
SO75709,LJ-0192-S,11902,20140219,20140228,20140305,688,2,344
SO75710,BK-R93R-62,18405,20140304,20140309,20140314,66,3,22
SO75711,BK-R93R-62,29260,20140302,20140309,20140314,36,4,9
SO75712,BK-M82B-48,25614,20140314,20140320,20140325,636,4,159
SO75713,BK-M82B-48,15281,20140321,20140328,20140402,6750,2,3375
SO75714,BK-R93R-48,24517,20140129,20140205,20140210,688,2,344
SO75715,ST-1401,12036,20140314,20140320,20140325,2097,3,699
SO75716,ST-1401,28558,20140326,20140405,20140410,2097,3,699
SO75717,BK-M82B-48,22719,20140326,20140401,20140406,27,3,9
SO75718,BK-R93R-62,25555,20140326,20140401,20140406,45,5,9
SO75719,BK-R93R-48,22709,20140222,20140302,20140307,14312,4,3578
SO75720,BK-M82S-44,13984,20140306,20140314,20140319,9,1,9
SO75721,BK-M82S-44,15434,20140326,20140403,20140408,10734,3,3578
SO75722,SO-B909-M,29035,20140319,20140327,20140401,6800,2,3400
SO75723,FE-6654,28504,20140316,20140325,20140330,636,4,159
SO75724,ST-1401,27833,20140304,20140314,20140319,22,1,22
SO75725,BK-M82S-44,29450,20140202,20140212,20140217,1376,4,344
SO75726,CA-1098,24056,20140326,20140401,20140406,10734,3,3578
SO75727,CA-1098,25462,20140329,20140403,20140408,6800,2,3400
SO75728,BK-M82S-44,18912,20140310,20140320,20140325,1398,2,699
SO75729,BK-M82S-44,28517,20140226,20140307,20140312,3375,1,3375
SO75730,BK-M82S-44,22180,20140213,20140219,20140224,14312,4,3578
SO75731,HL-U509,13998,20140302,20140311,20140316,17890,5,3578
SO75732,BK-M82S-44,25650,20140301,20140308,20140313,1398,2,699
SO75733,ST-1401,12835,20140307,20140314,20140319,44,2,22
SO75734,BK-M82S-44,18292,20140308,20140314,20140319,6800,2,3400
SO75735,FE-6654,20396,20140131,20140208,20140213,318,2,159
SO75736,HL-U509,23954,20140326,20140402,20140407,6800,2,3400
SO75737,BK-M82B-48,24042,20140216,20140221,20140226,10734,3,3578
SO75738,FE-6654,20460,20140317,20140322,20140327,88,4,22
SO75739,HL-U509,26445,20140210,20140215,20140220,88,4,22
SO75740,LJ-0192-S,13160,20140308,20140316,20140321,10734,3,3578
SO75741,BK-R50B-62,15905,20140303,20140311,20140316,27,3,9
SO75742,BK-M82B-48,17485,20140208,20140213,20140218,7156,2,3578
SO75743,ST-1401,22956,20140310,20140318,20140323,10200,3,3400
SO75744,SO-B909-M,11864,20140224,20140303,20140308,66,3,22
SO75745,BK-M82B-48,15534,20140304,20140309,20140314,3495,5,699
SO75746,HL-U509,11342,20140225,20140303,20140308,13500,4,3375
SO75747,LJ-0192-S,14157,20140309,20140315,20140320,16875,5,3375
SO75748,LJ-0192-S,23761,20140306,20140311,20140316,6750,2,3375
SO75749,BK-R93R-62,25163,20140129,20140207,20140212,6800,2,3400
SO75750,ST-1401,14812,20140315,20140324,20140329,10125,3,3375
SO75751,SO-B909-M,25352,20140304,20140311,20140316,14312,4,3578
SO75752,BK-R50B-62,15602,20140310,20140319,20140324,66,3,22
SO75753,HL-U509,22368,20140216,20140221,20140226,66,3,22
SO75754,HL-U509,22574,20140223,20140302,20140307,477,3,159
SO75755,BK-R93R-48,21599,20140204,20140214,20140219,688,2,344
SO75756,ST-1401,11452,20140308,20140315,20140320,88,4,22
SO75757,BK-R50B-62,11514,20140324,20140331,20140405,6750,2,3375
SO75758,ST-1401,20748,20140305,20140310,20140315,699,1,699
SO75759,BK-M82S-44,13106,20140322,20140327,20140401,1032,3,344
SO75760,LJ-0192-S,25372,20140223,20140302,20140307,795,5,159
SO75761,FE-6654,26735,20140211,20140216,20140221,17890,5,3578
SO75762,BK-M82B-48,25530,20140131,20140209,20140214,159,1,159
SO75763,CA-1098,26031,20140216,20140221,20140226,17890,5,3578
SO75764,FE-6654,12908,20140321,20140329,20140403,13500,4,3375
SO75765,BK-R93R-62,16937,20140306,20140312,20140317,17000,5,3400
SO75766,BK-R50B-62,15016,20140313,20140323,20140328,1720,5,344
SO75767,BK-M82B-48,17988,20140308,20140313,20140318,13600,4,3400
SO75768,CA-1098,18811,20140327,20140404,20140409,10734,3,3578
SO75769,LJ-0192-S,21816,20140213,20140223,20140228,10734,3,3578
SO75770,BK-R93R-48,11585,20140130,20140204,20140209,6750,2,3375
SO75771,CA-1098,27464,20140129,20140208,20140213,3578,1,3578
SO75772,BK-M82S-44,16872,20140204,20140210,20140215,22,1,22
SO75773,LJ-0192-S,17753,20140130,20140207,20140212,1032,3,344
SO75774,BK-R93R-48,28624,20140224,20140303,20140308,17890,5,3578
SO75775,HL-U509,12431,20140328,20140403,20140408,688,2,344
SO75776,BK-R93R-48,13290,20140129,20140205,20140210,159,1,159
SO75777,BK-R93R-62,25233,20140303,20140309,20140314,1720,5,344
SO75778,LJ-0192-S,14398,20140328,20140403,20140408,10200,3,3400
SO75779,BK-R93R-48,18913,20140216,20140226,20140303,22,1,22
SO75780,CA-1098,15900,20140323,20140328,20140402,10200,3,3400
SO75781,HL-U509,23051,20140301,20140309,20140314,110,5,22
SO75782,BK-R93R-48,25421,20140225,20140307,20140312,795,5,159
SO75783,BK-R93R-62,15389,20140302,20140312,20140317,3400,1,3400
SO75784,BK-R93R-48,27163,20140210,20140220,20140225,1376,4,344
SO75785,ST-1401,27456,20140324,20140330,20140404,1032,3,344
SO75786,FE-6654,12469,20140306,20140312,20140317,14312,4,3578
SO75787,CA-1098,25113,20140220,20140302,20140307,477,3,159
SO75788,HL-U509,24641,20140213,20140223,20140228,13600,4,3400
SO75789,BK-R93R-48,20562,20140227,20140308,20140313,159,1,159
SO75790,BK-R50B-62,27450,20140327,20140404,20140409,10200,3,3400
SO75791,HL-U509,25775,20140307,20140317,20140322,1032,3,344
SO75792,BK-M82S-44,20107,20140306,20140315,20140320,10125,3,3375
SO75793,BK-R93R-48,18824,20140208,20140214,20140219,88,4,22
SO75794,HL-U509,28009,20140201,20140206,20140211,27,3,9
SO75795,BK-R93R-48,26051,20140313,20140320,20140325,7156,2,3578
SO75796,BK-R50B-62,11857,20140227,20140309,20140314,45,5,9
SO75797,BK-R93R-48,17577,20140218,20140228,20140305,477,3,159
SO75798,LJ-0192-S,21056,20140227,20140305,20140310,66,3,22
SO75799,ST-1401,21840,20140309,20140317,20140322,16875,5,3375
SO75800,BK-M82S-44,26983,20140321,20140330,20140404,3400,1,3400
SO75801,CA-1098,21824,20140314,20140324,20140329,36,4,9
SO75802,BK-R93R-62,28809,20140302,20140307,20140312,10200,3,3400
SO75803,HL-U509,15936,20140228,20140305,20140310,110,5,22
SO75804,BK-R93R-62,11825,20140314,20140319,20140324,45,5,9
SO75805,BK-R50B-62,16054,20140211,20140220,20140225,14312,4,3578
SO75806,BK-R93R-48,19835,20140324,20140329,20140403,17000,5,3400
SO75807,HL-U509,24863,20140321,20140330,20140404,3495,5,699
SO75808,BK-R93R-62,15158,20140201,20140206,20140211,18,2,9
SO75809,BK-M82S-44,20055,20140228,20140306,20140311,2796,4,699
SO75810,SO-B909-M,23681,20140304,20140313,20140318,1720,5,344
SO75811,BK-R93R-62,16849,20140129,20140203,20140208,1032,3,344
SO75812,BK-R93R-48,25983,20140328,20140403,20140408,795,5,159
SO75813,CA-1098,23139,20140208,20140216,20140221,6800,2,3400
SO75814,LJ-0192-S,24910,20140130,20140206,20140211,699,1,699
SO75815,BK-R93R-62,14003,20140211,20140219,20140224,14312,4,3578
SO75816,BK-M82B-48,11340,20140207,20140213,20140218,44,2,22
SO75817,LJ-0192-S,19121,20140306,20140312,20140317,17000,5,3400
SO75818,BK-R50B-62,20171,20140228,20140308,20140313,10734,3,3578
SO75819,LJ-0192-S,21336,20140203,20140211,20140216,688,2,344
SO75820,BK-R50B-62,21890,20140318,20140324,20140329,45,5,9
SO75821,BK-R93R-48,28570,20140201,20140206,20140211,36,4,9
SO75822,BK-M82B-48,12068,20140227,20140309,20140314,3495,5,699
SO75823,LJ-0192-S,20836,20140212,20140218,20140223,6800,2,3400
SO75824,BK-R93R-48,24493,20140223,20140303,20140308,14312,4,3578
SO75825,BK-R50B-62,21683,20140301,20140309,20140314,1032,3,344
SO75826,BK-M82S-44,13642,20140210,20140216,20140221,88,4,22
SO75827,FE-6654,16128,20140329,20140408,20140413,477,3,159
SO75828,BK-R93R-48,13677,20140314,20140319,20140324,16875,5,3375
SO75829,SO-B909-M,22597,20140313,20140322,20140327,44,2,22
SO75830,BK-M82S-44,28621,20140320,20140326,20140331,2097,3,699
SO75831,BK-R50B-62,26560,20140323,20140331,20140405,159,1,159
SO75832,ST-1401,14345,20140223,20140302,20140307,17000,5,3400
SO75833,BK-M82B-48,19034,20140130,20140204,20140209,17890,5,3578
SO75834,BK-M82B-48,16204,20140327,20140401,20140406,1398,2,699
SO75835,BK-R93R-62,27385,20140303,20140308,20140313,66,3,22
SO75836,LJ-0192-S,22511,20140313,20140323,20140328,3578,1,3578
SO75837,FE-6654,15762,20140223,20140301,20140306,2097,3,699
SO75838,BK-R50B-62,26384,20140309,20140316,20140321,3375,1,3375
SO75839,BK-M82S-44,11994,20140324,20140401,20140406,2097,3,699
SO75840,FE-6654,12928,20140310,20140315,20140320,66,3,22
SO75841,BK-R50B-62,21516,20140328,20140405,20140410,16875,5,3375
SO75842,BK-M82S-44,23130,20140204,20140209,20140214,318,2,159
SO75843,HL-U509,15533,20140312,20140318,20140323,22,1,22
SO75844,BK-R93R-48,14593,20140209,20140215,20140220,1398,2,699
SO75845,SO-B909-M,17159,20140315,20140322,20140327,7156,2,3578
SO75846,ST-1401,24179,20140228,20140305,20140310,318,2,159
SO75847,BK-R93R-62,22327,20140315,20140324,20140329,17000,5,3400
SO75848,BK-R93R-48,29413,20140319,20140324,20140329,3495,5,699
SO75849,CA-1098,24474,20140326,20140331,20140405,13500,4,3375
SO75850,BK-R50B-62,22932,20140223,20140305,20140310,344,1,344
SO75851,BK-R93R-62,14260,20140310,20140318,20140323,110,5,22
SO75852,ST-1401,20098,20140225,20140306,20140311,16875,5,3375
SO75853,BK-M82B-48,27606,20140301,20140306,20140311,7156,2,3578
SO75854,CA-1098,23784,20140314,20140324,20140329,318,2,159
SO75855,BK-M82B-48,22205,20140217,20140223,20140228,88,4,22
SO75856,BK-R50B-62,12688,20140319,20140329,20140403,3578,1,3578
SO75857,BK-R93R-48,25365,20140214,20140221,20140226,636,4,159
SO75858,BK-R50B-62,22867,20140222,20140302,20140307,3375,1,3375
SO75859,SO-B909-M,16179,20140219,20140227,20140304,1376,4,344
SO75860,BK-M82S-44,18288,20140327,20140404,20140409,699,1,699
SO75861,CA-1098,25239,20140215,20140222,20140227,10734,3,3578
SO75862,FE-6654,27360,20140225,20140305,20140310,27,3,9
SO75863,BK-R50B-62,16347,20140217,20140227,20140304,344,1,344
SO75864,FE-6654,22127,20140218,20140224,20140301,110,5,22
SO75865,BK-R93R-48,11414,20140204,20140214,20140219,110,5,22
SO75866,BK-M82S-44,25791,20140208,20140216,20140221,10125,3,3375
SO75867,ST-1401,14946,20140205,20140213,20140218,13600,4,3400
SO75868,SO-B909-M,13177,20140216,20140224,20140301,27,3,9
SO75869,FE-6654,13147,20140309,20140316,20140321,18,2,9
SO75870,BK-R93R-48,20379,20140325,20140404,20140409,6800,2,3400
SO75871,CA-1098,19224,20140207,20140213,20140218,6800,2,3400
SO75872,ST-1401,28518,20140218,20140223,20140228,1032,3,344
SO75873,BK-M82S-44,25356,20140305,20140315,20140320,6750,2,3375
SO75874,ST-1401,23023,20140210,20140216,20140221,688,2,344
SO75875,FE-6654,18883,20140224,20140303,20140308,7156,2,3578
SO75876,HL-U509,27583,20140221,20140226,20140303,88,4,22
SO75877,FE-6654,13873,20140315,20140321,20140326,10125,3,3375
SO75878,FE-6654,11482,20140321,20140328,20140402,3495,5,699
SO75879,HL-U509,22166,20140302,20140310,20140315,10200,3,3400
SO75880,BK-R93R-62,22759,20140327,20140403,20140408,6800,2,3400
SO75881,ST-1401,16659,20140306,20140313,20140318,1032,3,344
SO75882,LJ-0192-S,20277,20140218,20140226,20140303,16875,5,3375
SO75883,BK-R50B-62,13596,20140316,20140324,20140329,14312,4,3578
SO75884,BK-M82B-48,28147,20140213,20140223,20140228,110,5,22
SO75885,BK-R93R-62,12672,20140320,20140325,20140330,1032,3,344
SO75886,BK-M82B-48,26875,20140218,20140227,20140304,636,4,159
SO75887,BK-M82B-48,12702,20140222,20140304,20140309,22,1,22
SO75888,FE-6654,17329,20140323,20140401,20140406,9,1,9
SO75889,HL-U509,23508,20140203,20140210,20140215,3578,1,3578
SO75890,FE-6654,21209,20140210,20140218,20140223,6800,2,3400
SO75891,BK-M82B-48,27024,20140330,20140404,20140409,18,2,9
SO75892,BK-M82B-48,25729,20140227,20140309,20140314,795,5,159
SO75893,CA-1098,24613,20140330,20140406,20140411,159,1,159
SO75894,BK-R50B-62,14664,20140304,20140313,20140318,795,5,159
SO75895,HL-U509,12562,20140328,20140407,20140412,1376,4,344
SO75896,BK-R93R-62,17981,20140315,20140320,20140325,88,4,22
SO75897,ST-1401,12111,20140208,20140218,20140223,66,3,22
SO75898,LJ-0192-S,18546,20140303,20140313,20140318,17000,5,3400
SO75899,BK-R93R-62,18932,20140329,20140404,20140409,27,3,9
SO75900,BK-R93R-62,13036,20140207,20140217,20140222,318,2,159
SO75901,CA-1098,17468,20140323,20140330,20140404,10734,3,3578
SO75902,ST-1401,13441,20140330,20140404,20140409,10125,3,3375
SO75903,ST-1401,22165,20140224,20140306,20140311,1398,2,699
SO75904,LJ-0192-S,20242,20140227,20140309,20140314,1720,5,344
SO75905,ST-1401,16002,20140219,20140224,20140301,13600,4,3400
SO75906,BK-R93R-48,20398,20140213,20140218,20140223,27,3,9
SO75907,LJ-0192-S,19473,20140304,20140313,20140318,3495,5,699
SO75908,BK-R93R-48,12937,20140208,20140213,20140218,17890,5,3578
SO75909,HL-U509,25290,20140307,20140317,20140322,3578,1,3578
SO75910,CA-1098,29466,20140204,20140210,20140215,27,3,9
SO75911,CA-1098,27425,20140315,20140321,20140326,45,5,9
SO75912,SO-B909-M,14959,20140215,20140223,20140228,636,4,159
SO75913,BK-R93R-62,24703,20140206,20140213,20140218,3495,5,699
SO75914,BK-M82B-48,28929,20140218,20140228,20140305,10200,3,3400
SO75915,BK-R50B-62,20365,20140221,20140227,20140304,10200,3,3400
SO75916,ST-1401,13851,20140309,20140314,20140319,44,2,22
SO75917,BK-M82S-44,27104,20140218,20140226,20140303,45,5,9
SO75918,BK-R50B-62,22224,20140326,20140402,20140407,10125,3,3375
SO75919,LJ-0192-S,12164,20140308,20140315,20140320,159,1,159
SO75920,BK-R93R-62,19317,20140310,20140319,20140324,13500,4,3375
